DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2013-02-01T10:06:45.000+00:00,31.863,-116.191,8.4,2.5,Ml,,216,,,ci,ci15279801,1359750919574
2013-02-01T10:05:04.000+00:00,61.829,-149.789,34.3,1.4,Ml,,115,,,ak,ak10648619,1359714112407
2013-02-01T09:58:39.800+00:00,34.162,-116.412,9.2,1.2,Ml,,76,,,ci,ci15279793,1359712908900
2013-02-01T09:40:45.900+00:00,39.126,-123.155,6.2,1.6,Md,,137,,,nc,nc71932881,1359713646797
2013-02-01T08:59:40.800+00:00,38.825,-122.856,2.5,2.2,Md,,29,,,nc,nc71932831,1359748809341
2013-02-01T08:22:40.000+00:00,63.384,-149.810,89.3,1.1,Ml,,148,,,ak,ak10648594,1359707537090
2013-02-01T08:05:35.900+00:00,36.296,-120.802,6.6,2.0,Md,,148,,,nc,nc71932786,1359708311479
2013-02-01T07:47:05.000+00:00,38.813,-122.816,3.1,1.4,Md,,50,,,nc,nc71932781,1359706808611
2013-02-01T07:39:46.030+00:00,48.285,154.697,36.0,4.7,mb,,53,,,us,usc000ezjt,1359707132611
2013-02-01T07:39:37.700+00:00,38.828,-122.855,2.2,1.1,Md,,94,,,nc,nc71932776,1359704479579
2013-02-01T07:20:25.000+00:00,60.026,-153.042,3.7,2.8,Ml,,104,,,ak,ak10648568,1359769751419
2013-02-01T07:19:35.100+00:00,19.355,-155.273,31.1,1.8,Md,,79,,,hv,hv60461781,1359703291361
2013-02-01T07:17:26.000+00:00,59.966,-152.998,5.0,1.1,Ml,,155,,,ak,ak10648567,1359703240888
2013-02-01T07:11:16.200+00:00,32.993,-116.243,8.0,1.6,Ml,,50,,,ci,ci15279777,1359702818521
2013-02-01T06:58:45.900+00:00,38.812,-122.820,2.8,1.2,Md,,83,,,nc,nc71932761,1359703271778
2013-02-01T06:47:57.000+00:00,59.241,-142.739,0.5,3.2,Ml,,205,,,ak,ak10648551,1359702341976
2013-02-01T06:44:06.300+00:00,37.419,-118.926,4.8,1.5,Md,,227,,,nc,nc71932736,1359702971196
